PostId,TagId
"655506","26537"
"2017389","26537"
"2691675","26537"
"2932342","26537"
"3450713","26537"
"3707830","26537"
"3718832","26537"
"10631942","26537"
"21359255","26537"
"23193268","26537"
"27524778","26537"
"655896","26542"
"661131","26542"
"18291384","26542"
"656341","26548"
"698699","26548"
"1138144","26548"
"1631788","26548"
"1958805","26548"
"2139919","26548"
"2308743","26548"
"3078115","26548"
"3856744","26548"
"5055165","26548"
"5728274","26548"
"5893778","26548"
"5975973","26548"
"7040242","26548"
"7247470","26548"
"7554213","26548"
"7572581","26548"
"7580157","26548"
"7833179","26548"
"7931754","26548"
"9629593","26548"
"10421112","26548"
"10813915","26548"
"10912084","26548"
"11033833","26548"
"11285090","26548"
"11412377","26548"
"11613529","26548"
"11626613","26548"
"12329281","26548"
"12451198","26548"
"14253486","26548"
"14374800","26548"
"15210771","26548"
"16110568","26548"
"16560789","26548"
"16738232","26548"
"18566382","26548"
"20148226","26548"
"21186136","26548"
"21323299","26548"
"21453354","26548"
"21572074","26548"
"21881037","26548"
"23587502","26548"
"24016582","26548"
"24560845","26548"
"24616582","26548"
"25790538","26548"
"26263681","26548"
"26303006","26548"
"27599914","26548"
"27600172","26548"
"27985780","26548"
"28652292","26548"
"29154539","26548"
"31248480","26548"
"33370035","26548"
"33515611","26548"
"37105593","26548"
"37481251","26548"
"587996","26550"
"2255658","26550"
"2276370","26550"
"3663823","26550"
"7575082","26550"
"9239313","26550"
"11508254","26550"
"11579920","26550"
"13641407","26550"
"13693216","26550"
"16779162","26550"
"16824523","26550"
"18178542","26550"
"18245576","26550"
"19982931","26550"
"20316035","26550"
"21947508","26550"
"25796922","26550"
"26005052","26550"
"29621196","26550"
"29890647","26550"
"30670087","26550"
"32540912","26550"
"32703379","26550"
"32743885","26550"
"33279931","26550"
"33571744","26550"
"34795072","26550"
"35070615","26550"
"39259759","26550"
"39268564","26550"
"656779","26558"
"2829925","26558"
"3035412","26558"
"4824993","26558"
"4957524","26558"
"5039642","26558"
"5452830","26558"
"6376047","26558"
"6594787","26558"
"7356197","26558"
"7567680","26558"
"7811127","26558"
"8008490","26558"
"8207755","26558"
"9247864","26558"
"9482019","26558"
"9492355","26558"
"10196629","26558"
"10298104","26558"
"10877185","26558"
"11719619","26558"
"11841358","26558"
"11860280","26558"
"11914152","26558"
"11983110","26558"
"12056590","26558"
"12238541","26558"
"12304092","26558"
"12773356","26558"
"12780635","26558"
"13283461","26558"
"14101063","26558"
"14152840","26558"
"14773998","26558"
"14879377","26558"
"15590003","26558"
"15607979","26558"
"15619183","26558"
"15840684","26558"
"15930242","26558"
"16155874","26558"
"16428383","26558"
"16525677","26558"
"17702966","26558"
"17819621","26558"
"18098592","26558"
"18843602","26558"
"18982457","26558"
"19920797","26558"
"20331622","26558"
"20670252","26558"
"21236183","26558"
"21241993","26558"
"21318550","26558"
"22696772","26558"
