Id,UserId,Name,Date,Class,TagBased
"4012744","520","Notable Question","2012-08-08 14:16:08","2","False"
"4012772","747","Yearling","2012-08-08 14:16:08","2","False"
"4012812","748","Yearling","2012-08-08 14:21:08","2","False"
"4012925","750","Yearling","2012-08-08 14:41:10","2","False"
"4012927","751","Yearling","2012-08-08 14:41:10","2","False"
"4013040","834","Good Question","2012-08-08 14:56:15","2","False"
"4013069","752","Yearling","2012-08-08 14:56:15","2","False"
"4013374","755","Yearling","2012-08-08 15:36:10","2","False"
"4013375","756","Yearling","2012-08-08 15:36:10","2","False"
"4013382","259","Nice Question","2012-08-08 15:41:02","3","False"
"4013421","758","Yearling","2012-08-08 15:46:09","2","False"
"4013422","757","Yearling","2012-08-08 15:46:09","2","False"
"4013684","763","Yearling","2012-08-08 16:21:13","2","False"
"4013704","33","Nice Answer","2012-08-08 16:31:08","3","False"
"4013889","765","Yearling","2012-08-08 16:56:29","2","False"
"4013987","743","Nice Answer","2012-08-08 17:16:11","3","False"
"4014049","767","Yearling","2012-08-08 17:21:14","2","False"
"4014050","769","Yearling","2012-08-08 17:21:14","2","False"
"4014051","770","Yearling","2012-08-08 17:21:14","2","False"
"4014121","797","Guru","2012-08-08 17:36:07","2","False"
"4014795","775","Yearling","2012-08-08 19:26:07","2","False"
"4015193","416","Nice Question","2012-08-08 20:36:12","3","False"
"4015293","779","Yearling","2012-08-08 20:51:08","2","False"
"4015499","782","Yearling","2012-08-08 21:31:14","2","False"
"4015500","781","Yearling","2012-08-08 21:31:14","2","False"
"4015503","189","Great Question","2012-08-08 21:36:07","1","False"
"4015689","784","Yearling","2012-08-08 22:11:10","2","False"
"4015692","785","Yearling","2012-08-08 22:11:10","2","False"
"4015808","307","Popular Question","2012-08-08 22:46:12","3","False"
"4016033","877","Benefactor","2012-08-08 23:51:09","3","False"
"4016209","791","Yearling","2012-08-09 00:46:09","2","False"
"4016348","409","Popular Question","2012-08-09 01:36:03","3","False"
"4016397","792","Yearling","2012-08-09 01:56:07","2","False"
"4016468","794","Yearling","2012-08-09 02:16:11","2","False"
"4016469","796","Yearling","2012-08-09 02:16:11","2","False"
"4016470","797","Yearling","2012-08-09 02:16:11","2","False"
"4016471","795","Yearling","2012-08-09 02:16:11","2","False"
"4016510","799","Yearling","2012-08-09 02:31:03","2","False"
"4016586","802","Yearling","2012-08-09 03:02:10","2","False"
"4016712","804","Yearling","2012-08-09 03:26:12","2","False"
"4016725","805","Yearling","2012-08-09 03:31:11","2","False"
"4016758","806","Yearling","2012-08-09 03:41:10","2","False"
"4016870","811","Yearling","2012-08-09 04:06:10","2","False"
"4016871","810","Yearling","2012-08-09 04:06:10","2","False"
"4016872","809","Yearling","2012-08-09 04:06:10","2","False"
"4016875","813","Yearling","2012-08-09 04:06:10","2","False"
"4016889","814","Yearling","2012-08-09 04:11:09","2","False"
"4016941","2","Commentator","2012-08-09 04:36:05","3","False"
"4017002","821","Yearling","2012-08-09 04:56:11","2","False"
"4017003","822","Yearling","2012-08-09 04:56:11","2","False"
"4017059","823","Yearling","2012-08-09 05:11:14","2","False"
"4017090","825","Yearling","2012-08-09 05:21:04","2","False"
"4017105","826","Yearling","2012-08-09 05:26:09","2","False"
"4017224","112","Nice Question","2012-08-09 06:01:05","3","False"
"4017350","828","Yearling","2012-08-09 06:26:14","2","False"
"4017434","831","Yearling","2012-08-09 06:46:14","2","False"
"4017437","830","Yearling","2012-08-09 06:46:14","2","False"
"4017552","832","Yearling","2012-08-09 07:11:11","2","False"
"4017601","342","Notable Question","2012-08-09 07:21:12","2","False"
"82947","994","Teacher","2008-09-15 08:55:03","3","False"
"82955","164","Teacher","2008-09-15 08:55:03","3","False"
"82956","652","Teacher","2008-09-15 08:55:03","3","False"
"82958","509","Teacher","2008-09-15 08:55:03","3","False"
"82959","670","Teacher","2008-09-15 08:55:03","3","False"
"82965","986","Teacher","2008-09-15 08:55:03","3","False"
"82967","883","Teacher","2008-09-15 08:55:03","3","False"
"82972","122","Teacher","2008-09-15 08:55:03","3","False"
"82973","782","Teacher","2008-09-15 08:55:03","3","False"
"82987","58","Teacher","2008-09-15 08:55:03","3","False"
